,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,GB_pred,Log_pred,RF_pred,Xgb_pred
0,3.0,34.5,0.0,0.0,7.8292,0.0,1.0,0.0,1.0,0.0,0.8751,0.8974,0.94,0.9545999765396118
1,3.0,47.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.8608,0.6963,0.64,0.8808000087738037
2,2.0,62.0,0.0,0.0,9.6875,0.0,1.0,0.0,1.0,0.0,0.8949,0.8882,0.88,0.7688000202178955
3,3.0,27.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0,1.0,0.8584,0.9137,0.98,0.9850000143051147
4,3.0,22.0,1.0,1.0,12.2875,1.0,0.0,0.0,0.0,1.0,0.576,0.4371,0.54,0.7172999978065491
5,3.0,14.0,0.0,0.0,9.225,0.0,1.0,0.0,0.0,1.0,0.6869,0.8601,0.86,0.8623999953269958
6,3.0,30.0,0.0,0.0,7.6292,1.0,0.0,0.0,1.0,0.0,0.436,0.3233,0.684,0.5306000113487244
7,2.0,26.0,1.0,1.0,29.0,0.0,1.0,0.0,0.0,1.0,0.9219,0.8002,0.94,0.9763000011444092
8,3.0,18.0,0.0,0.0,7.2292,1.0,0.0,1.0,0.0,0.0,0.1521,0.2446,0.12,0.2092999964952469
9,3.0,21.0,2.0,0.0,24.15,0.0,1.0,0.0,0.0,1.0,0.9476,0.9434,0.9,0.9943000078201294
10,3.0,30.272590361445783,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,0.9197,0.9239,1.0,0.9488999843597412
11,1.0,46.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.7257,0.6595,0.86,0.8801000118255615
12,1.0,23.0,1.0,0.0,82.2667,1.0,0.0,0.0,0.0,1.0,0.0822,0.065,0.0,0.020999999716877937
13,2.0,63.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.9018,0.9513,0.96,0.9563999772071838
14,1.0,47.0,1.0,0.0,61.175,1.0,0.0,0.0,0.0,1.0,0.0919,0.1594,0.02,0.04780000075697899
15,2.0,24.0,1.0,0.0,27.7208,1.0,0.0,1.0,0.0,0.0,0.1125,0.1454,0.02,0.07970000058412552
16,2.0,35.0,0.0,0.0,12.35,0.0,1.0,0.0,1.0,0.0,0.8345,0.7197,0.9633,0.9265000224113464
17,3.0,21.0,0.0,0.0,7.225,0.0,1.0,1.0,0.0,0.0,0.8327,0.8478,0.44,0.6025000214576721
18,3.0,27.0,1.0,0.0,7.925,1.0,0.0,0.0,0.0,1.0,0.3748,0.4982,0.76,0.840499997138977
19,3.0,45.0,0.0,0.0,7.225,1.0,0.0,1.0,0.0,0.0,0.5344,0.5006,0.4,0.7583000063896179
20,1.0,55.0,1.0,0.0,59.4,0.0,1.0,1.0,0.0,0.0,0.6581,0.7311,0.52,0.7407000064849854
21,3.0,9.0,0.0,1.0,3.1708,0.0,1.0,0.0,0.0,1.0,0.4712,0.8278,0.42,0.47369998693466187
22,1.0,30.272590361445783,0.0,0.0,31.6833,1.0,0.0,0.0,0.0,1.0,0.074,0.062,0.0,0.009700000286102295
23,1.0,21.0,0.0,1.0,61.3792,0.0,1.0,1.0,0.0,0.0,0.5914,0.3076,0.42,0.43380001187324524
24,1.0,48.0,1.0,3.0,262.375,1.0,0.0,1.0,0.0,0.0,0.0388,0.108,0.04,0.04340000078082085
25,3.0,50.0,1.0,0.0,14.5,0.0,1.0,0.0,0.0,1.0,0.9223,0.9753,1.0,0.9807999730110168
26,1.0,22.0,0.0,1.0,61.9792,1.0,0.0,1.0,0.0,0.0,0.0504,0.0296,0.0,0.00930000003427267
27,3.0,22.5,0.0,0.0,7.225,0.0,1.0,1.0,0.0,0.0,0.8239,0.8557,0.38,0.49790000915527344
28,1.0,41.0,0.0,0.0,30.5,0.0,1.0,0.0,0.0,1.0,0.5656,0.6111,0.42,0.2531000077724457
29,3.0,30.272590361445783,2.0,0.0,21.6792,0.0,1.0,1.0,0.0,0.0,0.9143,0.9432,0.9,0.8967999815940857
30,2.0,50.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.8833,0.9189,1.0,0.9587000012397766
31,2.0,24.0,2.0,0.0,31.5,0.0,1.0,0.0,0.0,1.0,0.8857,0.8445,0.96,0.9373999834060669
32,3.0,33.0,1.0,2.0,20.575,1.0,0.0,0.0,0.0,1.0,0.5942,0.5428,0.42,0.4059999883174896
33,3.0,30.272590361445783,1.0,2.0,23.45,1.0,0.0,0.0,0.0,1.0,0.6897,0.5144,0.88,0.8194000124931335
34,1.0,30.0,1.0,0.0,57.75,0.0,1.0,1.0,0.0,0.0,0.6259,0.4884,0.54,0.5946000218391418
